SampleID,StochasticSolution,ExpectedValueSolution
1,1.7194318770199977e6,6.08970105855e6
2,5.005073302909996e6,8.90274368045e6
3,864040.5383800007,-736252.4404000007
4,5.515487638370004e6,1.0045504059379995e7
5,5.281112741969999e6,2.598847085170001e6
6,2.3650843006900027e6,4.129531828639999e6
7,875183.0300900005,4.411875642990001e6
8,229309.78330999985,-1.2607852488399968e6
9,-161849.63904999942,-1.1177057486000024e6
10,-4.53276085478e6,-5.390142041400004e6
11,-3.8092623536899984e6,-2.4405503081399985e6
12,1.2199591509700008e6,2.621770383279998e6
13,2.0919994442600012e6,8.555399552079998e6
14,1.434099707059998e6,5.639968161359999e6
15,2.900018219639998e6,912688.2904700041
16,-271088.2368000001,536043.6849699989
17,-1.6938116350499988e6,4.1010098135900013e6
18,-1.51016201193e6,1.2235381549400017e6
19,2.9468058719099984e6,1.5604824871699996e6
20,-2.2842152384600006e6,-1.9977767593099996e6
21,-662817.9646399952,-1.257740436920002e6
22,-459578.11040000245,2.1912256086799987e6
23,957242.3088699989,5.334845722150002e6
24,402777.1045999974,-1.1714697152200006e6
25,-911055.1924199983,1.3768868503500037e6
26,-1.1618622718599997e6,3.412962848019995e6
27,-200935.5153400004,-2.25439742354e6
28,1.5444583105200008e6,2.22465991333e6
29,500881.781849999,1.1635835489399992e6
30,-3.273922280559998e6,-4.73604322577e6
31,-1.0010137485799976e6,-1.145648022979997e6
32,4.373776863139998e6,4.07915061685e6
33,-553132.301880002,-762692.5728100017
34,-1.0014905805799998e6,-3.160379751940001e6
35,8.407355632820006e6,1.40634831985e7
36,1.3639777865199968e6,928897.889720004
37,-1.134908103459999e6,-1.9651036086000018e6
38,606797.0422100015,-822586.8734800033
39,575641.7372100018,2.088849636590004e6
40,39214.99643000215,2.31140549543e6
41,-113328.07059999928,6.970468081890002e6
42,248235.43290999904,-2.371661954560004e6
43,-1.5647699582899995e6,-2.488446909099996e6
44,2.7066368938999996e6,610071.2012300007
45,-453029.7654299997,103690.42534999922
46,2.0056058178399988e6,3.085109986220002e6
47,-3.0383126522600017e6,-4.473710472430002e6
48,3.1362913576599993e6,4.230721259890001e6
49,-810814.0368200019,-94612.95318000019
50,-4.816638245469999e6,-6.982033389120001e6
51,-1.73368301193e6,-4.255600173269998e6
52,-827.3335200026631,2.783168470680002e6
53,-1.5458577389900014e6,-1.781070162639998e6
54,416113.92866999656,566732.8481900021
55,2.9745701253999956e6,7.648274124939997e6
56,1.0246744497999996e6,7.00252827936e6
57,779178.5767800026,12223.054380003363
58,-3.570643299970001e6,-1.0913775442699976e6
59,-2.2918661451699995e6,-3.3240200053499974e6
60,2.206652299249999e6,-120517.94178000093
61,1.5456164070700034e6,134774.74992999807
62,686186.6167499982,4.1650036477699988e6
63,784748.5254999995,-141634.3958900012
64,4.825308939879999e6,6.420060339059997e6
65,-488211.76110000163,-5.131729190979999e6
66,198584.08142000064,2.3636907991699986e6
67,-4.470567315919999e6,-3.2417009245900027e6
68,1.5830176891399957e6,2.861499327809997e6
69,-1.3701869741399996e6,-1.6101622064299993e6
70,-759525.6466000006,-1.454316244429998e6
71,-1.5922610147399977e6,-2.738278147719998e6
72,-1.6088809451899976e6,2.418450256529998e6
73,5.335675092900004e6,6.282996618670002e6
74,-1.317022242589999e6,-1.4401890881699994e6
75,-321692.53641999885,1.681504900510002e6
76,2.974358153560005e6,1.6854521328500025e6
77,3.428809674929999e6,1.0475401959860004e7
78,-3.9091255075999983e6,-9.36218922924e6
79,115716.94622999802,-2.7741179417900033e6
80,-1.1487072111800015e6,-1.17802281769e6
81,-1.0735208698699996e6,-4.1299093200299963e6
82,2.74645530573e6,4.260836298570003e6
83,1.3368611843299977e6,6.049977808740001e6
84,947634.3766500019,-932212.564609997
85,-3.312768558940001e6,-8.60456606646e6
86,1.2227503630300015e6,5.092768127390001e6
87,-1.1974054836599976e6,-941600.4546800032
88,-1.4731206162599996e6,-1.7723596590500027e6
89,-3.2603683845300004e6,-1.9911571293699965e6
90,2.7197629062400013e6,6.76616606103e6
91,-179688.8231200017,963054.5524099953
92,-3.3044836567200013e6,-3.913493653409999e6
93,3.736744779169999e6,4.970897571109999e6
94,-890264.4014899991,-2.156011786120001e6
95,-2.66488293231e6,-3.7881745368500017e6
96,-642246.9696700014,925104.2337500006
97,2.302379938170001e6,-2.903383168580003e6
98,-3.222150251210004e6,-3.14967945273e6
99,-3.003042475739997e6,-2.3951264525449984e6
100,293695.27946000174,1.8806057732800022e6
